Date,Open,High,Low,Close,Volume
2018-06-06,81.72,82.25,81.14,81.87,720800
2018-06-07,82.19,82.43,78.33,79.32,1663200
2018-06-08,79.23,80.42,78.75,79.53,999100
2018-06-11,79.51,80.19,78.69,79.65,863300
2018-06-12,80.36,81.30,80.04,81.02,1199000
2018-06-13,81.33,82.00,81.13,81.67,982700
2018-06-14,82.09,83.70,82.05,83.03,1193800
2018-06-15,82.69,83.90,81.84,83.44,1605200
2018-06-18,82.05,84.04,82.01,83.21,1749200
2018-06-19,82.17,83.36,80.71,83.17,1089600
2018-06-20,83.83,84.89,83.83,84.53,894600
2018-06-21,84.73,85.00,82.46,83.56,902300
2018-06-22,83.91,84.08,81.48,82.84,1683900
2018-06-25,82.80,82.80,78.24,78.75,1523000
2018-06-26,79.01,79.87,78.22,78.47,992900
2018-06-27,78.59,79.14,75.21,75.37,1523300
2018-06-28,75.06,76.31,73.75,76.20,1886100
2018-06-29,76.94,77.69,76.50,76.86,956200
2018-07-02,76.02,78.23,75.74,78.21,692900
2018-07-03,78.83,79.00,77.45,78.24,488500
2018-07-05,78.58,78.84,77.45,78.60,834000
2018-07-06,78.70,79.85,78.57,79.73,739900
2018-07-09,80.35,80.72,78.36,80.20,782700
2018-07-10,80.14,80.43,79.34,79.45,544500
2018-07-11,78.71,80.44,78.71,80.31,509300
2018-07-12,80.97,82.56,80.55,82.51,675100
2018-07-13,82.27,82.80,81.73,82.53,587300
2018-07-16,82.85,83.19,82.01,82.23,374100
2018-07-17,81.32,83.08,81.00,82.75,550500
2018-07-18,83.03,83.63,82.00,83.61,679400
2018-07-19,83.43,84.22,82.85,83.26,423200
2018-07-20,83.61,83.70,82.66,83.10,467700
2018-07-23,83.03,83.99,82.10,83.73,473200
2018-07-24,83.92,84.24,80.04,80.19,926800
2018-07-25,80.69,83.01,80.47,82.70,888000
2018-07-26,82.55,83.58,81.18,82.81,928600
2018-07-27,83.63,83.64,78.46,79.00,993900
2018-07-30,78.80,78.94,74.23,75.16,1364300
2018-07-31,75.24,76.69,73.47,75.63,937300
2018-08-01,75.68,78.51,75.68,78.50,892200
2018-08-02,78.09,80.62,77.80,80.50,705600
2018-08-03,80.32,80.39,78.44,79.58,1072000
2018-08-06,79.02,80.93,78.40,80.91,506600
2018-08-07,81.16,81.96,80.60,81.31,416900
2018-08-08,81.88,82.37,80.83,82.00,638100
2018-08-09,81.80,84.07,81.70,83.03,548000
2018-08-10,82.57,84.50,81.68,83.51,448100
2018-08-13,83.57,85.97,83.57,83.70,1064500
2018-08-14,83.86,85.05,82.34,84.98,645200
2018-08-15,84.38,85.34,82.58,82.76,850500
2018-08-16,83.83,85.04,83.02,84.71,982300
2018-08-17,84.71,85.33,83.48,84.72,895000
2018-08-20,85.35,86.52,84.44,85.57,1083600
2018-08-21,85.69,87.76,85.69,87.09,1195200
2018-08-22,86.93,89.19,86.70,88.99,1019500
2018-08-23,89.02,90.73,88.53,89.52,2067100
2018-08-24,91.15,101.10,91.15,100.64,4414400
2018-08-27,101.48,103.49,100.71,102.08,2144900
2018-08-28,102.50,103.56,100.68,102.72,1677000
2018-08-29,103.00,104.54,102.95,103.62,1235600
2018-08-30,103.21,104.32,102.59,103.40,1146700
2018-08-31,103.35,104.76,102.90,104.36,1114100
2018-09-04,104.21,105.04,103.59,104.25,1201600
2018-09-05,103.52,103.68,98.32,101.00,2205100
2018-09-06,101.43,102.07,100.06,101.71,1163700
2018-09-07,100.47,103.61,100.30,102.07,1086500
2018-09-10,103.39,103.39,101.27,102.46,903300
2018-09-11,102.70,104.38,102.07,103.46,954200
2018-09-12,103.49,104.70,101.24,104.61,859500
2018-09-13,105.00,107.44,104.81,105.31,933200
2018-09-14,106.44,107.57,105.83,106.92,1171700
2018-09-17,107.11,107.77,104.19,104.48,1106700
2018-09-18,104.33,106.95,104.11,105.20,789900
2018-09-19,104.85,105.18,102.05,103.18,1369000
2018-09-20,103.57,105.04,101.89,103.07,1662000
2018-09-21,103.05,104.52,102.75,103.91,1699900
2018-09-24,103.67,105.41,102.29,105.14,1759200
2018-09-25,103.82,104.93,102.62,104.35,1642500
2018-09-26,104.71,105.05,103.23,104.46,1042600
2018-09-27,104.68,106.85,104.68,106.68,1201600
2018-09-28,106.50,109.05,106.50,108.87,1562700
2018-10-01,107.49,108.55,105.18,105.20,1797000
2018-10-02,105.35,106.10,103.10,103.20,1315600
2018-10-03,103.13,104.71,100.75,104.40,1136400
2018-10-04,104.09,104.62,96.95,98.14,2494400
2018-10-05,99.65,102.01,95.73,98.04,2802800
2018-10-08,97.17,98.15,93.55,95.07,1820400
2018-10-09,94.47,97.88,94.03,94.31,1529500
2018-10-10,93.50,93.83,89.28,89.39,1782900
