Date,Open,High,Low,Close,Volume
2018-06-06,32.22,32.55,32.15,32.50,3111987
2018-06-07,32.57,33.36,32.54,33.08,3563025
2018-06-08,32.74,33.14,32.59,32.99,2478711
2018-06-12,33.31,33.55,33.18,33.42,3908467
2018-06-13,33.33,33.57,33.04,33.21,2780192
2018-06-14,33.45,33.59,33.24,33.45,3183522
2018-06-15,33.87,34.32,33.82,34.17,7003764
2018-06-18,34.43,34.43,33.97,34.07,2310549
2018-06-19,34.23,34.23,33.61,33.65,3252715
2018-06-20,34.10,34.12,33.68,33.83,2826654
2018-06-21,34.68,34.77,34.15,34.72,8049385
2018-06-22,34.72,35.14,34.56,35.01,3406208
2018-06-25,35.01,35.23,34.69,34.78,2347527
2018-06-26,34.81,35.36,34.62,35.28,3472882
2018-06-27,35.22,35.48,35.01,35.19,3712914
2018-06-28,35.01,35.35,34.96,35.12,6716302
2018-06-29,35.16,35.36,35.11,35.13,8080731
2018-07-02,35.01,35.06,34.77,34.83,2620274
2018-07-03,34.99,35.58,34.94,35.33,2947387
2018-07-04,35.23,35.35,34.96,35.04,2544635
2018-07-05,35.12,35.48,35.01,35.30,2366228
2018-07-06,35.55,35.92,35.35,35.85,3352220
2018-07-09,35.60,35.78,35.51,35.58,1769420
2018-07-10,35.55,35.57,35.06,35.13,3447236
2018-07-11,35.02,35.16,34.75,34.79,2979626
2018-07-12,35.26,35.39,35.14,35.22,3124801
2018-07-13,35.21,35.22,34.91,35.05,1902051
2018-07-16,35.09,35.37,35.08,35.33,1647153
2018-07-17,35.38,35.68,35.09,35.26,1961415
2018-07-18,35.34,35.80,35.34,35.41,1859616
2018-07-19,35.46,35.67,35.41,35.41,2329561
2018-07-20,35.41,35.68,35.31,35.58,2122314
2018-07-23,35.31,35.50,35.06,35.12,1813267
2018-07-24,35.09,35.34,34.98,35.22,2239799
2018-07-25,35.17,35.19,34.61,34.85,2961340
2018-07-26,34.62,35.25,34.62,35.19,4152918
2018-07-27,34.84,35.37,34.79,35.06,5726028
2018-07-30,34.91,35.43,34.91,35.25,1992666
2018-07-31,35.23,35.38,34.99,35.20,2433951
2018-08-01,35.20,35.47,35.05,35.33,2842217
2018-08-02,35.56,35.72,35.33,35.38,2933951
2018-08-03,35.58,35.64,35.37,35.47,2316091
2018-08-06,35.51,35.62,35.41,35.54,1406167
2018-08-07,35.58,36.32,35.53,35.58,4336414
2018-08-08,35.58,35.99,35.57,35.73,2209741
2018-08-09,35.73,35.83,35.34,35.70,1693617
2018-08-10,35.73,36.08,35.54,35.85,2375695
2018-08-13,35.89,35.98,35.72,35.79,1722883
2018-08-14,36.06,36.40,35.97,36.00,3390682
2018-08-15,37.51,37.51,36.68,37.15,5667912
2018-08-16,37.29,37.36,36.79,37.36,3940996
2018-08-20,36.94,37.13,36.74,36.89,7446416
2018-08-21,36.79,36.86,36.11,36.28,2820316
2018-08-22,36.15,36.25,35.90,36.00,3250739
2018-08-23,36.01,36.22,35.84,36.09,2298157
2018-08-24,36.39,37.06,36.15,36.64,2914589
2018-08-27,36.58,36.86,36.39,36.83,1573310
2018-08-28,36.87,36.96,36.49,36.61,3630549
2018-08-29,36.30,37.01,36.30,36.86,2980884
2018-08-30,36.97,37.09,36.66,36.76,3935007
2018-08-31,36.72,36.74,36.34,36.62,5224859
2018-09-03,36.76,36.95,36.57,36.59,1764662
2018-09-04,36.41,36.70,36.22,36.64,2257190
2018-09-05,36.64,36.65,36.00,36.20,2912199
2018-09-06,35.98,36.35,35.98,36.27,3365087
2018-09-07,35.96,36.68,35.96,36.57,4438471
2018-09-10,36.57,36.94,36.53,36.62,1764735
2018-09-11,36.69,36.69,36.39,36.54,1939430
2018-09-12,36.31,36.82,36.17,36.73,1777863
2018-09-13,36.51,36.75,36.07,36.10,2548269
2018-09-14,36.05,36.44,35.80,35.88,3262070
2018-09-17,35.83,36.43,35.77,36.25,1444280
2018-09-18,35.85,36.10,35.74,35.95,2558680
2018-09-19,35.95,36.22,35.88,36.09,2172827
2018-09-20,35.83,35.91,35.38,35.41,5377727
2018-09-21,35.44,35.80,35.28,35.47,4331129
2018-09-24,35.30,35.62,35.19,35.46,1686842
2018-09-25,35.23,35.47,35.06,35.17,2466794
2018-09-26,34.93,35.41,34.93,35.41,3551824
2018-09-27,35.44,35.60,35.22,35.37,4140031
2018-09-28,35.55,35.78,35.48,35.48,5605941
2018-10-01,35.05,35.30,35.01,35.15,1256747
2018-10-02,35.15,35.33,34.66,34.74,2902381
2018-10-03,34.69,35.16,34.69,35.09,2109015
2018-10-04,35.36,35.46,35.05,35.18,2216957
2018-10-05,35.37,35.53,35.09,35.28,1150628
2018-10-08,34.98,35.29,34.71,35.10,1891938
2018-10-09,34.87,35.09,34.54,34.72,2914307
2018-10-10,34.64,34.92,34.53,34.84,2227341
2018-10-11,34.23,34.44,33.73,33.77,4003060
2018-10-12,33.70,33.93,33.46,33.68,4918291
2018-10-15,33.39,33.76,33.38,33.58,2700539
2018-10-16,33.59,34.15,33.58,33.74,3097021
2018-10-17,33.88,34.06,33.60,33.82,2287571
2018-10-18,34.10,34.10,33.51,33.66,3466001
2018-10-19,33.45,33.76,33.45,33.66,3059403
2018-10-22,33.53,34.10,33.52,33.99,2187721
2018-10-23,33.95,34.07,33.53,33.53,1936248
2018-10-24,33.60,33.94,33.55,33.60,3246192
2018-10-25,33.18,33.30,32.47,32.47,4463041
2018-10-26,32.49,32.71,32.23,32.45,8232909
