Date,Open,High,Low,Close,Volume
2018-05-30,82.45,84.23,82.26,84.12,9314100
2018-05-31,83.94,84.31,82.51,82.54,11468700
2018-06-01,83.04,83.42,82.85,82.99,5237900
2018-06-04,83.50,85.52,83.30,85.42,10922000
2018-06-05,85.45,85.47,84.25,84.62,8281400
2018-06-06,84.95,85.15,84.35,84.56,7362800
2018-06-07,84.78,85.76,84.69,84.95,7705700
2018-06-08,84.78,85.19,84.14,84.36,7602400
2018-06-11,84.41,84.54,83.79,84.30,6252300
2018-06-12,84.32,84.59,83.47,84.10,8061700
2018-06-13,83.89,84.37,83.85,84.09,6358400
2018-06-14,84.22,84.81,83.67,83.79,7517400
2018-06-15,83.50,83.99,83.06,83.70,12503000
2018-06-18,83.05,83.57,82.82,83.00,8502300
2018-06-19,82.60,83.62,82.37,83.61,9352500
2018-06-20,83.71,83.82,83.16,83.61,7966600
2018-06-21,83.40,84.55,82.90,84.21,8092000
2018-06-22,84.46,84.85,84.10,84.82,10813000
2018-06-25,84.59,86.60,84.48,86.47,15939500
2018-06-26,86.53,87.05,85.76,85.98,10126200
2018-06-27,85.90,87.49,85.55,86.89,10299700
2018-06-28,86.85,87.29,85.69,85.86,8467000
2018-06-29,85.90,86.20,85.52,85.65,8255600
2018-07-02,85.65,85.94,83.40,84.00,8125100
2018-07-03,84.09,85.05,84.09,84.44,4396200
2018-07-05,84.94,85.58,84.27,84.57,5367500
2018-07-06,84.20,84.87,83.82,84.51,5613700
2018-07-09,85.00,86.47,84.77,85.93,6575400
2018-07-10,85.93,87.33,85.88,87.21,6048400
2018-07-11,87.06,87.15,86.39,86.53,5595900
2018-07-12,86.94,87.41,86.22,86.52,4888600
2018-07-13,86.52,87.99,86.50,87.70,6388600
2018-07-16,87.62,87.72,86.83,87.64,4447200
2018-07-17,87.40,88.70,87.40,88.19,5911500
2018-07-18,88.33,89.19,87.94,88.07,5045500
2018-07-19,87.86,88.48,87.41,87.72,4883100
2018-07-20,87.40,88.17,87.20,88.06,4815100
2018-07-23,87.65,88.15,87.38,87.63,4150000
2018-07-24,88.12,88.50,87.61,87.96,5589500
2018-07-25,87.27,88.02,87.11,87.90,5809100
2018-07-26,88.50,89.43,88.18,88.23,6548300
2018-07-27,88.64,88.88,88.03,88.13,4679400
2018-07-30,88.00,88.94,87.89,88.88,6010700
2018-07-31,89.00,89.66,88.80,89.23,6708100
2018-08-01,88.86,89.13,87.88,88.24,5050000
2018-08-02,87.94,88.84,87.62,88.76,4306100
2018-08-03,89.19,90.28,89.00,89.60,5747200
2018-08-06,89.31,89.98,89.13,89.67,4651600
2018-08-07,89.83,90.36,89.65,89.77,4526700
2018-08-09,89.46,89.63,88.76,89.01,4725600
2018-08-10,88.70,90.37,88.65,90.18,8244900
2018-08-13,90.20,90.54,89.37,89.64,5879200
2018-08-14,89.64,91.12,89.63,90.85,5836800
2018-08-15,90.25,90.41,89.67,90.22,8616900
2018-08-16,100.11,100.21,97.91,98.64,42631300
2018-08-17,97.77,99.67,97.61,97.85,16463300
2018-08-20,97.67,98.29,95.95,96.00,12679300
2018-08-21,95.96,96.36,95.36,96.08,10531300
2018-08-22,96.20,96.85,95.23,95.67,7765700
2018-08-23,95.50,95.86,95.06,95.18,6096400
2018-08-24,95.09,95.66,94.35,94.95,8594300
2018-08-27,95.26,95.61,94.29,94.54,7040300
2018-08-28,94.77,96.35,94.53,96.07,9983000
2018-08-29,96.28,96.83,95.53,95.64,7862800
2018-08-30,95.50,96.50,95.45,96.10,7058700
2018-08-31,96.19,96.44,95.11,95.86,6324700
2018-09-04,95.80,96.27,95.24,95.36,8280700
2018-09-05,95.67,96.83,95.36,96.62,9474600
2018-09-06,96.53,96.72,96.01,96.45,6150800
2018-09-07,95.80,96.48,95.64,95.83,6672400
2018-09-10,96.11,97.19,96.09,96.90,8332600
2018-09-11,97.27,97.66,96.49,96.64,6463500
2018-09-12,96.26,96.74,95.93,95.97,5900000
2018-09-13,95.32,95.62,94.91,95.12,7652900
2018-09-14,94.53,94.84,94.35,94.59,6319400
2018-09-17,94.75,95.48,94.37,94.82,5329800
2018-09-18,94.46,95.59,94.15,95.43,6759800
2018-09-19,95.57,95.89,94.88,95.24,5675100
2018-09-20,95.35,95.79,94.95,95.75,5552300
2018-09-21,95.92,96.29,95.63,95.90,9530100
2018-09-24,95.44,96.00,94.86,94.92,5337000
2018-09-25,95.99,96.52,94.99,95.10,6193200
2018-09-26,95.10,95.59,94.52,94.59,5918600
2018-09-27,94.19,94.96,93.82,94.13,5363400
2018-09-28,94.28,94.37,93.69,93.91,6306300
2018-10-01,94.29,94.66,94.04,94.40,4994300
2018-10-02,93.93,95.61,93.85,95.15,7754600
