Date,Open,High,Low,Close,Volume
2018-06-06,28.50,28.78,28.45,28.72,2540621
2018-06-07,28.80,29.02,28.72,28.88,1747456
2018-06-08,28.86,29.05,28.63,28.87,1626899
2018-06-12,29.01,29.35,28.94,29.20,3125311
2018-06-13,29.18,29.30,28.92,29.04,1991449
2018-06-14,28.99,29.27,28.84,28.98,2144472
2018-06-15,29.27,29.38,29.12,29.25,4076333
2018-06-18,29.34,29.42,29.26,29.38,1633975
2018-06-19,29.48,29.48,29.13,29.32,2244961
2018-06-20,29.49,29.49,29.28,29.41,1944274
2018-06-21,29.79,30.06,29.54,29.94,6039687
2018-06-22,29.96,30.04,29.85,29.96,1668544
2018-06-25,30.05,30.28,29.99,30.03,1969354
2018-06-26,30.01,30.28,29.88,30.22,2312037
2018-06-27,30.16,30.43,30.10,30.30,2106193
2018-06-28,30.39,30.66,30.30,30.63,4800760
2018-06-29,30.65,30.79,30.40,30.52,7240977
2018-07-02,30.56,30.78,30.42,30.46,2158203
2018-07-03,30.88,31.10,30.60,30.60,2946046
2018-07-04,30.55,30.71,30.41,30.63,1611629
2018-07-05,31.01,31.09,30.62,30.66,2317373
2018-07-06,30.70,30.77,30.54,30.65,3583899
2018-07-09,30.69,30.91,30.57,30.84,2221192
2018-07-10,31.00,31.00,30.77,30.84,2793785
2018-07-11,30.85,31.35,30.84,31.28,3928905
2018-07-12,31.39,31.48,31.23,31.30,3426903
2018-07-13,31.30,31.30,30.76,30.89,1667765
2018-07-16,30.88,31.11,30.82,31.08,1460700
2018-07-17,31.03,31.35,30.83,30.99,1678858
2018-07-18,31.20,31.48,31.04,31.07,3138611
2018-07-19,30.93,31.11,30.73,30.80,2150157
2018-07-20,30.90,30.99,30.79,30.91,1594486
2018-07-23,30.80,30.94,30.67,30.80,1490855
2018-07-24,30.83,31.10,30.80,30.99,1895502
2018-07-25,30.80,30.87,30.11,30.20,3446290
2018-07-26,30.19,30.48,30.16,30.32,3455846
2018-07-27,30.15,30.32,30.04,30.18,3510030
2018-07-30,29.95,30.13,29.83,30.08,1154135
2018-07-31,30.07,30.20,29.88,30.09,1927622
2018-08-01,30.09,30.30,29.91,29.95,2292859
2018-08-02,30.03,30.15,29.78,29.79,2470169
2018-08-03,30.00,30.07,29.65,29.72,1825903
2018-08-06,29.72,30.15,29.72,30.10,1387281
2018-08-07,30.00,30.10,29.68,29.84,2794870
2018-08-08,29.80,30.08,29.80,29.93,1750980
2018-08-09,29.90,29.93,29.65,29.69,2122163
2018-08-10,29.89,29.95,29.62,29.64,5412125
