Date,Open,High,Low,Close,Volume
2018-05-30,31.93,33.70,31.93,33.70,21900
2018-05-31,31.95,33.21,31.13,31.75,20600
2018-06-01,30.73,31.42,29.66,29.66,21400
2018-06-04,29.97,30.04,28.45,28.68,21300
2018-06-05,28.05,29.50,27.98,29.33,27100
2018-06-06,29.24,29.34,27.95,28.95,23600
2018-06-07,29.24,30.20,29.16,30.14,38700
2018-06-08,29.80,30.19,29.09,29.66,33400
2018-06-11,28.93,30.52,28.93,30.17,28000
2018-06-12,30.19,31.04,30.04,30.45,6500
2018-06-13,30.77,31.24,30.77,31.03,19600
2018-06-14,31.49,31.49,30.39,31.14,24400
2018-06-15,30.37,30.38,27.92,27.96,8500
2018-06-18,28.78,29.77,28.64,29.43,6400
2018-06-19,28.27,28.96,27.77,28.64,29800
2018-06-20,29.71,30.21,28.64,29.29,19800
2018-06-21,28.54,29.74,28.54,29.64,3200
2018-06-22,31.64,33.41,31.16,33.40,11200
2018-06-25,32.69,32.69,31.63,31.95,9500
2018-06-26,32.71,35.05,31.92,34.77,21000
2018-06-27,36.43,38.31,36.43,37.37,29100
2018-06-28,37.86,39.53,37.73,38.62,18400
2018-06-29,39.65,40.40,39.65,40.16,11500
2018-07-02,39.56,39.56,38.40,38.40,20000
2018-07-03,40.08,40.56,36.74,37.93,30200
2018-07-05,38.70,38.82,37.25,37.85,4500
2018-07-06,36.62,38.48,36.60,38.42,9500
2018-07-09,38.68,39.42,38.01,39.42,21600
2018-07-10,40.27,40.70,39.61,39.61,11400
2018-07-11,38.53,39.32,33.59,34.54,20200
2018-07-12,34.13,34.95,32.95,34.49,15600
2018-07-13,35.00,36.50,35.00,35.07,7000
2018-07-16,33.04,33.18,30.77,31.26,33200
2018-07-17,30.51,31.79,30.17,31.30,72200
2018-07-18,30.52,32.33,30.18,32.20,25600
2018-07-19,32.40,33.43,31.53,32.42,38100
2018-07-20,32.56,33.10,32.13,32.59,7400
2018-07-23,33.26,33.43,31.76,32.24,11900
2018-07-24,33.48,33.84,33.13,33.14,3900
2018-07-25,33.62,34.74,33.20,34.33,14400
2018-07-26,34.50,35.25,34.44,34.78,6500
2018-07-27,34.50,34.92,32.88,33.55,5500
2018-07-30,35.81,35.96,35.29,35.55,3400
2018-07-31,34.07,34.09,33.07,33.50,31700
2018-08-01,31.90,32.66,31.42,32.05,40800
2018-08-02,31.50,33.78,31.35,33.78,20200
2018-08-03,33.36,33.62,32.63,33.20,3500
2018-08-06,33.96,35.00,33.47,33.56,9100
2018-08-07,34.34,34.62,33.89,33.89,3200
2018-08-08,32.50,32.54,29.89,30.65,85400
2018-08-09,31.17,31.41,30.70,30.70,23700
2018-08-10,31.23,31.73,31.23,31.73,7000
2018-08-13,31.23,31.42,29.28,31.24,23900
2018-08-14,32.53,32.55,30.85,31.09,45700
2018-08-15,29.72,29.72,27.88,28.43,23500
2018-08-16,28.71,29.05,28.45,28.93,9600
2018-08-17,30.13,30.13,28.85,29.25,19100
2018-08-20,29.29,29.87,29.24,29.56,6400
2018-08-21,30.83,30.90,29.91,29.97,14400
2018-08-22,31.93,33.10,31.49,33.03,72100
2018-08-23,32.35,32.98,32.35,32.97,16500
2018-08-24,34.51,35.00,33.65,33.97,41700
2018-08-27,34.40,34.51,34.04,34.51,15200
2018-08-28,34.53,34.53,33.44,34.09,11700
2018-08-29,34.78,35.58,34.56,35.55,45900
2018-08-30,35.75,36.50,35.52,36.10,44100
2018-08-31,36.02,36.30,35.59,35.79,7400
2018-09-04,37.00,37.00,35.07,35.07,37000
2018-09-05,35.06,35.42,34.02,34.35,5100
2018-09-06,34.29,34.29,31.80,32.94,16500
2018-09-07,31.88,33.03,31.87,32.98,21700
2018-09-10,33.68,33.75,32.35,32.63,4200
2018-09-11,33.44,35.39,33.40,35.39,4000
2018-09-12,36.27,37.71,36.27,36.42,7500
2018-09-13,35.23,35.56,33.72,34.17,8300
2018-09-14,33.75,35.65,33.43,34.44,7400
2018-09-17,35.48,35.48,34.07,34.11,5800
2018-09-18,35.93,36.32,35.38,35.65,5200
2018-09-19,36.30,37.57,36.30,37.57,4900
2018-09-20,38.00,38.00,36.58,36.58,4800
2018-09-21,37.97,39.00,36.44,37.64,12100
2018-09-24,39.63,40.28,39.39,39.95,13600
2018-09-25,40.45,40.68,39.54,39.99,20400
2018-09-26,39.40,39.55,38.67,38.82,4400
2018-09-27,39.03,39.86,39.03,39.79,1600
2018-09-28,39.88,41.92,39.88,41.61,5600
2018-10-01,41.90,45.75,41.90,45.51,10900
2018-10-02,45.51,45.51,44.42,44.68,5900
2018-10-03,44.44,47.60,43.75,46.94,12000
2018-10-04,46.13,46.13,42.60,43.39,17700
2018-10-05,43.41,44.47,42.45,43.29,4800
2018-10-08,42.86,42.97,42.25,42.97,1700
2018-10-09,43.09,44.50,43.09,44.01,2200
2018-10-10,43.14,43.14,40.42,40.60,6800
2018-10-11,39.26,39.26,36.83,37.12,8600
2018-10-12,38.66,38.66,37.26,38.31,3800
2018-10-15,38.37,38.48,37.57,38.39,102800
